TrackName;ArtistName;Genre;BPM;Energy;Danceability;LoudnessDB;Liveness;Valence;Length;Acousticness;Speechiness;Popularity
Seniorita;Shawn Mendes;pop latino;117;60;76;-6;8;75;191;4;3;79
China;Anuel AA;reggaeton;105;81;86;-4;8;61;302;8;9;92
boyfriend (with Social House);Ariana Grande;pop;190;40;31;-4;16;70;186;12;46;62
Beautiful People (feat. Khalid);Ed Sheeran;pop;93;46;33;-8;8;55;198;12;60;59
Goodbyes (Feat. Young Thug);Post Malone;rap;150;80;5;-4;44;18;175;45;25;11
I Don't Care (with Justin Bieber);Ed Sheeran;pop;102;46;57;-5;9;84;220;9;59;90
Ransom;Lil Tecca;rap;180;77;9;-6;47;23;131;2;29;10
How Do You Sleep?;Sam Smith;pop;111;47;48;-5;8;35;202;15;36;23
Old Town Road - Remix;Lil Nas X;rap;136;79;11;-6;55;64;157;5;10;7
bad guy;Billie Eilish;electronica;135;80;31;-11;66;56;194;33;38;95
Callaita;Bad Bunny;reggaeton;176;82;83;-5;24;24;251;60;31;93
Loco Contigo (feat. J. Balvin & Tyga);DJ Snake;pop latino;96;66;79;-4;9;38;185;28;7;86
Someone You Loved;Lewis Capaldi;pop;110;30;50;-6;11;45;182;75;37;88
Otro Trago - Remix;Sech;reggaeton;176;84;75;-2;6;76;288;7;20;87
Money In The Grave (Drake ft. Rick Ross);Drake;hip hop;101;70;83;-4;66;10;205;10;5;18
No Guidance (feat. Drake);Chris Brown;pop;93;39;34;-7;16;14;261;12;28;47
LA CANCIoN;J Balvin;reggaeton;176;77;75;-6;11;43;243;15;32;90
Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;rap;90;77;16;-6;80;91;158;56;5;5
Lalala;Y2K;hip hop;130;82;84;-8;70;50;161;18;8;3
Truth Hurts;Lizzo;otros;158;62;21;-3;12;41;173;11;11;11
Piece Of Your Heart;MEDUZA;pop;124;33;26;-7;7;63;153;4;25;31
Panini;Lil Nas X;rap;154;75;4;-6;66;48;115;34;8;9
No Me Conoce - Remix;Jhay Cortez;reggaeton;92;79;81;-4;9;58;309;14;7;83
Soltera - Remix;Lunay;reggaeton;92;78;80;-4;44;80;266;36;4;91
bad guy (with Justin Bieber);Billie Eilish;electronica;135;90;22;-11;70;68;195;25;30;89
If I Can't Have You;Shawn Mendes;pop;124;31;46;-4;13;87;191;49;27;65
Dance Monkey;Tones and I;pop;98;37;58;-6;18;54;210;69;33;83
It's You;Ali Gatie;hip hop;96;71;73;-7;59;40;213;37;3;5
Con Calma;Daddy Yankee;reggaeton;94;86;74;-3;6;66;193;11;6;91
QUE PRETENDES;J Balvin;reggaeton;93;79;64;-4;36;94;222;3;25;89
Takeaway;The Chainsmokers;electronica;85;86;9;-8;58;36;210;12;4;84
7 rings;Ariana Grande;pop;140;32;48;-11;9;33;179;59;39;89
0.958333333333333;Maluma;reggaeton;96;77;78;-5;9;68;176;22;28;68
The London (feat. J. Cole & Travis Scott);Young Thug;hip hop;98;69;80;-7;53;18;200;2;15;3
Never Really Over;Katy Perry;pop;100;28;41;-5;32;39;224;19;40;37
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy);Martin Garrix;otros;114;72;66;-7;14;32;164;18;6;89
Otro Trago;Sech;pop latino;176;74;75;-5;11;62;226;14;34;91
Antisocial (with Travis Scott);Ed Sheeran;pop;152;40;33;-5;36;91;162;13;44;42
Sucker;Jonas Brothers;pop;138;36;36;-5;11;95;181;4;43;55
fuck im lonely;Lauv;pop;95;39;29;-6;6;68;199;48;34;11
Higher Love;Kygo;otros;104;68;69;-7;10;40;228;2;17;88
You Need To Calm Down;Taylor Swift;pop;85;40;40;-6;7;73;171;1;30;71
Shallow;Lady Gaga;pop;96;39;22;-6;23;32;216;37;27;63
Talk;Khalid;pop;136;40;47;-9;6;35;198;5;26;33
Con Altura;ROSALÕA;otros;98;69;62;-4;5;75;162;39;12;88
One Thing Right;Marshmello;electronica;88;90;40;-2;58;44;182;7;5;88
Te Robaré;Nicky Jam;pop latino;176;75;67;-4;8;80;202;24;6;88
Happier;Marshmello;electronica;100;88;23;-3;91;67;214;19;5;88
Call You Mine;The Chainsmokers;otros;104;70;30;-6;41;50;218;23;3;88
Cross Me (feat. Chance the Rapper & PnB Rock);Ed Sheeran;pop;95;27;20;-6;7;61;206;21;26;36
Calypso;Luis Fonsi;pop latino;110;84;86;-4;37;93;200;16;6;88
Dakiti;Bad bunny;reggaeton;95;86;77;-7;13;51;163;14;5;85
Por el bulebar de los Sueños rotos;Sabina;otros;127;66;19;-7;36;75;238;29;5;54
Lo niego todo;Sabina;otros;77;58;13;-7;13;35;280;72;4;29
Besos en guerra;Morat;pop latino;144;97;46;-3;10;77;231;13;5;89
Ingobernable;C.Tangan;otros;105;76;49;-6;7;74;187;20;7;64
Nosotros;Natos y warrios;rap;85;76;10;-5;57;49;263;18;7;9
Zinedine;Ayas y prok;rap;96;77;7;-9;48;85;127;3;47;10
Pareja del año;Sebastian Yatra;pop latino;80;62;72;-5;9;81;195;16;5;66
911;Sech;reggaeton;93;79;80;-4;30;74;215;8;4;60
Cuando te fuiste;Aitana;pop latino;160;83;59;-3;94;54;167;1;8;62
Princesas;Pereza;otros;132;85;17;-4;35;71;217;6;4;67
Bad habits;Ed Sheeran;electronica;126;90;33;-4;76;59;131;5;3;58
Juramento eterno de sal;Alvaro de Luna;pop latino;130;59;63;-6;35;72;215;2;6;49
Rapido;Myke Towers;reggaeton;120;88;76;-3;9;76;153;3;10;42
2:50;Tini;pop latino;140;81;66;-4;23;84;231;11;5;43
Yo te esperaré;Cali y El Dandee;pop latino;176;81;48;-6;8;33;232;23;13;73
La mujer de verde;IZAL;otros;152;73;17;-6;50;24;304;19;5;46
Ella no es tuya;Myke Towers;reggaeton;97;61;65;-4;65;96;218;39;29;46
Azukita;Steve Aoki;electronica;130;97;6;-4;91;82;226;0;11;69
Wake me Up;Avicii;electronica;124;90;30;-6;78;64;240;0;5;80
The nights;Avicii;electronica;126;88;28;-5;81;65;176;2;4;58
Levels;Avicii;electronica;126;86;28;-7;72;35;308;3;4;66
Hey brother;Avicii;electronica;125;77;22;-5;88;46;254;3;4;77
Waiting for love;Avicii;electronica;128;74;33;-4;76;61;230;31;5;48
Shape of You;Ed Sheeran;pop;96;27;36;-3;9;9;233;8;40;65
Despacito (Featuring Daddy Yankee);Luis Fonsi;pop latino;178;63;75;-5;7;11;229;20;20;100
Lose yourself;Eminen;rap;171;80;12;-5;60;6;320;1;27;13